"Time","mYWW","mYHW","mYRW","mYHH","mYHR","mYRR","myWW","myHW","myRW","myHH","myHR","myRR","fXWW","fXHW","fXRW","fXHH","fXHR","fXRR"
220,0,0,0,0,0,0,0,0,0,0,0,0,1931,0,0,0,0,0
221,0,0,0,0,0,0,0,0,0,0,0,0,1905,0,0,0,0,0
222,0,0,0,0,0,0,0,0,0,0,0,0,1858,0,0,0,0,0
223,0,0,0,0,0,0,0,0,0,0,0,0,1829,0,0,0,0,0
224,0,0,0,0,0,0,0,0,0,0,0,0,1845,0,0,0,0,0
225,0,0,0,0,0,0,0,0,0,0,0,0,1819,0,0,0,0,0
226,0,0,0,0,0,0,0,0,0,0,0,0,1800,0,0,0,0,0
227,0,0,0,0,0,0,0,0,0,0,0,0,1761,0,0,0,0,0
228,0,0,0,0,0,0,0,0,0,0,0,0,1736,0,0,0,0,0
229,0,0,0,0,0,0,0,0,0,0,0,0,1728,0,0,0,0,0
230,0,0,0,0,0,0,0,0,0,0,0,0,1711,0,0,0,0,0
231,0,0,0,0,0,0,0,0,0,0,0,0,1683,0,0,0,0,0
232,0,0,0,0,0,0,0,0,0,0,0,0,1644,0,0,0,0,0
233,0,0,0,0,0,0,0,0,0,0,0,0,1646,0,0,0,0,0
234,0,0,0,0,0,0,0,0,0,0,0,0,1607,0,0,0,0,0
235,0,0,0,0,0,0,0,0,0,0,0,0,1577,0,0,0,0,0
236,0,0,0,0,0,0,0,0,0,0,0,0,1528,0,0,0,0,0
237,0,0,0,0,0,0,0,0,0,0,0,0,1537,0,0,0,0,0
238,0,0,0,0,0,0,0,0,0,0,0,0,1509,0,0,0,0,0
239,0,0,0,0,0,0,0,0,0,0,0,0,1514,0,0,0,0,0
240,0,0,0,0,0,0,0,0,0,0,0,0,1494,0,0,0,0,0
241,0,0,0,0,0,0,0,0,0,0,0,0,1503,0,0,0,0,0
242,0,0,0,0,0,0,0,0,0,0,0,0,1489,0,0,0,0,0
243,0,0,0,0,0,0,0,0,0,0,0,0,1464,0,0,0,0,0
244,0,0,0,0,0,0,0,0,0,0,0,0,1463,0,0,0,0,0
245,0,0,0,0,0,0,0,0,0,0,0,0,1462,0,0,0,0,0
246,0,0,0,0,0,0,0,0,0,0,0,0,1474,0,0,0,0,0
247,0,0,0,0,0,0,0,0,0,0,0,0,1487,0,0,0,0,0
248,0,0,0,0,0,0,0,0,0,0,0,0,1497,0,0,0,0,0
249,0,0,0,0,0,0,0,0,0,0,0,0,1510,0,0,0,0,0
250,0,0,0,0,0,0,0,0,0,0,0,0,1502,0,0,0,0,0
251,0,0,0,0,0,0,0,0,0,0,0,0,1529,0,0,0,0,0
252,0,0,0,0,0,0,0,0,0,0,0,0,1541,0,0,0,0,0
253,0,0,0,0,0,0,0,0,0,0,0,0,1567,0,0,0,0,0
254,0,0,0,0,0,0,0,0,0,0,0,0,1564,0,0,0,0,0
255,0,0,0,0,0,0,0,0,0,0,0,0,1578,0,0,0,0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,1588,0,0,0,0,0
257,0,0,0,0,0,0,0,0,0,0,0,0,1637,0,0,0,0,0
258,0,0,0,0,0,0,0,0,0,0,0,0,1654,0,0,0,0,0
259,0,0,0,0,0,0,0,0,0,0,0,0,1689,0,0,0,0,0
260,0,0,0,0,0,0,0,0,0,0,0,0,1706,0,0,0,0,0
261,0,0,0,0,0,0,0,0,0,0,0,0,1715,0,0,0,0,0
262,0,0,0,0,0,0,0,0,0,0,0,0,1739,0,0,0,0,0
263,0,0,0,0,0,0,0,0,0,0,0,0,1744,0,0,0,0,0
264,0,0,0,0,0,0,0,0,0,0,0,0,1804,0,0,0,0,0
265,0,0,0,0,0,0,0,0,0,0,0,0,1872,0,0,0,0,0
266,0,0,0,0,0,0,0,0,0,0,0,0,1944,0,0,0,0,0
267,0,0,0,0,0,0,0,0,0,0,0,0,2012,0,0,0,0,0
268,0,0,0,0,0,0,0,0,0,0,0,0,2044,0,0,0,0,0
269,0,0,0,0,0,0,0,0,0,0,0,0,2084,0,0,0,0,0
270,0,0,0,0,0,0,0,0,0,0,0,0,2096,0,0,0,0,0
271,0,0,0,0,0,0,0,0,0,0,0,0,2131,0,0,0,0,0
272,0,0,0,0,0,0,0,0,0,0,0,0,2173,0,0,0,0,0
273,0,0,0,0,0,0,0,0,0,0,0,0,2225,0,0,0,0,0
274,0,0,0,0,0,0,0,0,0,0,0,0,2255,0,0,0,0,0
275,0,0,0,0,0,0,0,0,0,0,0,0,2260,0,0,0,0,0
276,0,0,0,0,0,0,0,0,0,0,0,0,2293,0,0,0,0,0
277,0,0,0,0,0,0,0,0,0,0,0,0,2340,0,0,0,0,0
278,0,0,0,0,0,0,0,0,0,0,0,0,2338,0,0,0,0,0
279,0,0,0,0,0,0,0,0,0,0,0,0,2408,0,0,0,0,0
280,0,0,0,0,0,0,0,0,0,0,0,0,2456,0,0,0,0,0
281,0,0,0,0,0,0,0,0,0,0,0,0,2461,0,0,0,0,0
282,0,0,0,0,0,0,0,0,0,0,0,0,2493,0,0,0,0,0
283,0,0,0,0,0,0,0,0,0,0,0,0,2549,0,0,0,0,0
284,0,0,0,0,0,0,0,0,0,0,0,0,2574,0,0,0,0,0
285,0,0,0,0,0,0,0,0,0,0,0,0,2583,0,0,0,0,0
286,0,0,0,0,0,0,0,0,0,0,0,0,2575,0,0,0,0,0
287,0,0,0,0,0,0,0,0,0,0,0,0,2578,0,0,0,0,0
288,0,0,0,0,0,0,0,0,0,0,0,0,2564,0,0,0,0,0
289,0,0,0,0,0,0,0,0,0,0,0,0,2540,0,0,0,0,0
290,0,0,0,0,0,0,0,0,0,0,0,0,2591,0,0,0,0,0
291,0,0,0,0,0,0,0,0,0,0,0,0,2595,0,0,0,0,0
292,0,0,0,0,0,0,0,0,0,0,0,0,2575,0,0,0,0,0
293,0,0,0,0,0,0,0,0,0,0,0,0,2568,0,0,0,0,0
294,0,0,0,0,0,0,0,0,0,0,0,0,2539,0,0,0,0,0
295,0,0,0,0,0,0,0,0,0,0,0,0,2524,0,0,0,0,0
296,0,0,0,0,0,0,0,0,0,0,0,0,2494,0,0,0,0,0
